来源名,类型,来料区,分箱,文件数,大小,状态,归属线索 / 不写入理由
doubao_html_20260904_113232.html,文件,html,09_可视化与网页产出,1,16.15 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
index (1).html,文件,html,09_可视化与网页产出,1,23.77 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
paper (1).html,文件,html,09_可视化与网页产出,1,14.96 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
paper-final.html,文件,html,09_可视化与网页产出,1,18.10 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
preview.html,文件,html,09_可视化与网页产出,1,10.95 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
real-dipole-3d.html,文件,html,09_可视化与网页产出,1,17.56 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
verification-report.html,文件,html,09_可视化与网页产出,1,19.55 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
史诗漫画全集.html,文件,html,09_可视化与网页产出,1,177.26 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
架构图与部署拓扑（浏览器直接打开）.html,文件,html,09_可视化与网页产出,1,8.19 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
统一场论方程_v=c求导验证链.html,文件,html,09_可视化与网页产出,1,9.01 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
统一场论架构总览.html,文件,html,09_可视化与网页产出,1,16.58 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
2a6d51edc089493595b7a589025a18ea.md,文件,md,10_未分类与杂项,1,6.32 MB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
Doubao-《拓扑生命系统确定性理论》第四、五部分全维深度分析：理论划时代的伟大之处-2026-07-15.md,文件,md,10_未分类与杂项,1,35.12 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
Doubao-算法联盟史诗漫画全集生成核心指令（终版）-2026-07-13.md,文件,md,10_未分类与杂项,1,21.48 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
Doubao-算法联盟最高权限｜HTML 可视化验证分形可逆方程全维度校验报告-2026-07-15.md,文件,md,10_未分类与杂项,1,37.64 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
README使用说明.md,文件,md,10_未分类与杂项,1,6.04 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
ch03 闵氏时空与狭义相对论（成稿）.md,文件,md,10_未分类与杂项,1,11.57 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
ch04 电磁场理论（成稿）.md,文件,md,10_未分类与杂项,1,9.01 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
ch05 量子力学与自旋（成稿）.md,文件,md,10_未分类与杂项,1,9.42 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
ch06 群论与标准模型（成稿含勘误）.md,文件,md,10_未分类与杂项,1,9.81 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
jNF76CdHjTobHqRlSz0CN,目录,zip/解压内容,10_未分类与杂项,1,49.86 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
《全维几何流形统一场论》完整书籍正文.md,文件,md,10_未分类与杂项,1,40.27 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
《统一场论》全书大纲与120.5万字预算.md,文件,md,10_未分类与杂项,1,6.08 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
【全维最高权限】AI终极统一系统风格·黄金比例永恒美学底层提示词（顶级设计师联盟定稿）.md,文件,md,10_未分类与杂项,1,6.00 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
"字数台账（13,089字累计）.md",文件,md,10_未分类与杂项,1,1.63 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
完整学术论文.md,文件,md,10_未分类与杂项,1,22.57 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
第00章 前言与体例.md,文件,md,10_未分类与杂项,1,4.81 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
第01章 理论选择问题与达成度.md,文件,md,10_未分类与杂项,1,4.81 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
第02章 微分几何基础（求导证明）.md,文件,md,10_未分类与杂项,1,11.30 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
论文成果评价及基金、国际评议配套材料.md,文件,md,10_未分类与杂项,1,11.25 KB,已写入（copy）,待归属（线索：待归属：主题域未识别，须人工读材料后判定）
9d4aee9c901c40e7b0f04b558b6a58d6.md,文件,md,(仅登记),1,242.80 MB,未写入（留在原处）,大体积自动生成语料（242.80 MB），不进仓库，保持原位
《超宇宙全维度统一场论大典》1.01亿字全知版.md,文件,md,(仅登记),1,242.80 MB,未写入（留在原处）,大体积自动生成语料（242.80 MB），不进仓库，保持原位
omni_unified_knowledge,目录,zip/解压内容,(仅登记),1102,1.08 GB,未写入（留在原处）,大体积自动生成语料（1.08 GB），不进仓库，保持原位
《全维全域统一知识大典》1亿字完整版压缩包,目录,zip/解压内容,(仅登记),1102,1.08 GB,未写入（留在原处）,大体积自动生成语料（1.08 GB），不进仓库，保持原位
0·1·∞宇宙本源——从真空到万物的第一性原理演绎.zip,文件,zip/原始包,(仅登记),1,212.94 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
ent-platform-enterprise-v1.0.0.zip（企业级一体化部署完整工程·56个文件）.zip,文件,zip/原始包,(仅登记),1,81.31 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
GAQ-UFT V∞ 全域光速螺旋统一场论（完整项目ZIP）.zip,文件,zip/原始包,(仅登记),1,42.53 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
GMUFT v4.0 全维统一场论完整包（ZIP下载）.zip,文件,zip/原始包,(仅登记),1,29.40 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
Goldbach_EHmu_2026-09-11.zip,文件,zip/原始包,(仅登记),1,307.65 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
GUFT全域几何统一场论v1.0完整包(ZIP).zip,文件,zip/原始包,(仅登记),1,394.66 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
jNF76CdHjTobHqRlSz0CN.zip,文件,zip/原始包,(仅登记),1,11.27 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
LSSUFT光速螺旋全域统一场论v2.0完整包(ZIP).zip,文件,zip/原始包,(仅登记),1,369.39 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
magnetic_field_algorithm_paper (1).zip,文件,zip/原始包,(仅登记),1,1.24 MB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
magnetic_field_algorithm_paper.zip,文件,zip/原始包,(仅登记),1,1.24 MB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
TUFT拓扑统一场论_完整版.zip（含18章+3附录+全部Python代码+仿真图，约32万字）.zip,文件,zip/原始包,(仅登记),1,430.82 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
《全域螺旋统一场》完整版压缩包（120万字）.zip,文件,zip/原始包,(仅登记),1,141.96 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
《全域螺旋统一场：核心方程与全维算法手册》完整版.zip,文件,zip/原始包,(仅登记),1,63.77 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
《全维全域统一知识大典》1亿字完整版压缩包.zip,文件,zip/原始包,(仅登记),1,25.08 MB,未写入（留在原处）,同名解压目录 `《全维全域统一知识大典》1亿字完整版压缩包` 亦为大体积语料只登记；两者均未写入
全域双向分形统一场论_完整交付包.zip（书籍+报告+代码+数据）.zip,文件,zip/原始包,(仅登记),1,59.25 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
全维分形知识自动演化引擎 v0.2.0 超宇宙级（Rust高性能版）.zip,文件,zip/原始包,(仅登记),1,21.23 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
全维分形知识自动演化引擎 v1.0.0 10亿行代码级工业全栈版.zip,文件,zip/原始包,(仅登记),1,26.52 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
全维分形知识自动演化引擎（Rust高性能版）.zip,文件,zip/原始包,(仅登记),1,13.95 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
全维宇宙归一化统一场论.zip,文件,zip/原始包,(仅登记),1,267.25 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
几何流形统一场论GMUFT完整项目包.zip,文件,zip/原始包,(仅登记),1,41.50 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
分形宇宙知识星河系统完整压缩包.zip,文件,zip/原始包,(仅登记),1,15.21 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
哥德巴赫猜想超大规模验证与深度分析包.zip,文件,zip/原始包,(仅登记),1,14.10 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
套娃分形筛理论与哥德巴赫猜想完整论文包.zip,文件,zip/原始包,(仅登记),1,16.77 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
宇宙文明技术落地_完整交付包.zip,文件,zip/原始包,(仅登记),1,567.41 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
宇宙文明本源说明书v2.0全量版.zip,文件,zip/原始包,(仅登记),1,21.33 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
宇宙文明本源说明书完整系统压缩包.zip,文件,zip/原始包,(仅登记),1,15.50 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
空间光速螺旋统一场论（完整理论+10项数值验证+ZIP包）.zip,文件,zip/原始包,(仅登记),1,22.38 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
算子统一系统完整工程包 (operator-unified-system.zip).zip,文件,zip/原始包,(仅登记),1,53.96 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
算法联盟·全域拼合验证工程 (1).zip,文件,zip/原始包,(仅登记),1,15.62 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
算法联盟·全域拼合验证工程.zip,文件,zip/原始包,(仅登记),1,15.62 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论_openuft_2026-09-25_r2.zip,文件,zip/原始包,(仅登记),1,100.15 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_v1.zip,文件,zip/原始包,(仅登记),1,102.40 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_v2.zip,文件,zip/原始包,(仅登记),1,204.14 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_v3.zip,文件,zip/原始包,(仅登记),1,267.08 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_v4.zip,文件,zip/原始包,(仅登记),1,323.25 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_v6.zip,文件,zip/原始包,(仅登记),1,407.58 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_v7.zip,文件,zip/原始包,(仅登记),1,511.60 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_v8.zip,文件,zip/原始包,(仅登记),1,609.59 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_v9 (1).zip,文件,zip/原始包,(仅登记),1,705.09 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_v9.zip,文件,zip/原始包,(仅登记),1,705.09 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_当前完整版.zip,文件,zip/原始包,(仅登记),1,592.64 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_最新完整版.zip,文件,zip/原始包,(仅登记),1,323.25 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一场论全书_终稿_v10_102万字.zip,文件,zip/原始包,(仅登记),1,803.96 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
统一常量k体系·全维统一场论（完整书籍+验证代码+ZIP包）.zip,文件,zip/原始包,(仅登记),1,177.38 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
自动公式生成器·无限知识智能生成系统 v1.0.0 完整源码包.zip,文件,zip/原始包,(仅登记),1,31.26 KB,未写入（留在原处）,内容已由同名解压目录收录，压缩包只登记
GAQ-UFT 万物几何统一场论 核心方程组白皮书.md,文件,md,(仅登记),1,17.01 KB,未写入（留在原处）,与已收录条目 `GAQ-UFT 万物几何统一场论 核心方程组白皮书 (1).md` 内容完全相同（指纹一致）
miaoda-code-《超宇宙全维度统一场论大典》完整Markdown文件（约250万字，科研级）.md,文件,md,(仅登记),1,6.32 MB,未写入（留在原处）,与已收录条目 `2a6d51edc089493595b7a589025a18ea.md` 内容完全相同（指纹一致）
κ²+τ²=(ω_c)² 恒等式与本征速度的全维度动力学求导证明与精算分析.md,文件,md,(仅登记),1,9.71 KB,未写入（留在原处）,与已收录条目 `κ²+τ²=(ω_c)² 恒等式与本征速度的全维度动力学求导证明与精算分析 (1).md` 内容完全相同（指纹一致）
光速螺旋时空全域统一场论：曲率-挠率-波动全维求导、精算验证与物理终极统一.md,文件,md,(仅登记),1,11.46 KB,未写入（留在原处）,与已收录条目 `光速螺旋时空全域统一场论：曲率-挠率-波动全维求导、精算验证与物理终极统一 (1).md` 内容完全相同（指纹一致）
大白话讲透：挠率为什么是短程偏移的求导结果（验证+精算分析） (2).md,文件,md,(仅登记),1,11.65 KB,未写入（留在原处）,与已收录条目 `大白话讲透：挠率为什么是短程偏移的求导结果（验证+精算分析） (1).md` 内容完全相同（指纹一致）
超宇宙全维度统一场论大典｜全域Frenet-Serret螺旋几何终极物理体系（千万字科研级巨著） (2).md,文件,md,(仅登记),1,71.80 KB,未写入（留在原处）,与已收录条目 `超宇宙全维度统一场论大典｜全域Frenet-Serret螺旋几何终极物理体系（千万字科研级巨著） (1).md` 内容完全相同（指纹一致）
超宇宙全维度统一场论大典｜全域Frenet-Serret螺旋几何终极物理体系（千万字科研级巨著） (3).md,文件,md,(仅登记),1,71.80 KB,未写入（留在原处）,与已收录条目 `超宇宙全维度统一场论大典｜全域Frenet-Serret螺旋几何终极物理体系（千万字科研级巨著） (1).md` 内容完全相同（指纹一致）
超宇宙全维度统一场论大典｜全域Frenet-Serret螺旋几何终极物理体系（千万字科研级巨著） (4).md,文件,md,(仅登记),1,71.80 KB,未写入（留在原处）,与已收录条目 `超宇宙全维度统一场论大典｜全域Frenet-Serret螺旋几何终极物理体系（千万字科研级巨著） (1).md` 内容完全相同（指纹一致）
index.html,文件,html,(仅登记),1,23.77 KB,未写入（留在原处）,与已收录条目 `index (1).html` 内容完全相同（指纹一致）
paper.html,文件,html,(仅登记),1,14.96 KB,未写入（留在原处）,与已收录条目 `paper (1).html` 内容完全相同（指纹一致）
magnetic_field_algorithm_paper (1),目录,zip/解压内容,(仅登记),11,1.36 MB,未写入（留在原处）,与已收录条目 `magnetic_field_algorithm_paper` 内容完全相同（指纹一致）
算法联盟·全域拼合验证工程 (1),目录,zip/解压内容,(仅登记),4,47.32 KB,未写入（留在原处）,与已收录条目 `算法联盟·全域拼合验证工程` 内容完全相同（指纹一致）
统一场论全书_v9 (1),目录,zip/解压内容,(仅登记),82,1.68 MB,未写入（留在原处）,与已收录条目 `统一场论全书_v9` 内容完全相同（指纹一致）
统一场论全书_最新完整版,目录,zip/解压内容,(仅登记),39,773.24 KB,未写入（留在原处）,与已收录条目 `统一场论全书_v4` 内容完全相同（指纹一致）
