来源名,类型,分箱,文件数,字节,状态,归属状态 / 不搬理由
_ma_v14_indep_audit_out.txt,文件,08_调试与临时产物,,3.12 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_gr_phase_check.py,文件,08_调试与临时产物,,2.53 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_gr_phase_check_out.txt,文件,08_调试与临时产物,,1.75 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_hp_gate.py,文件,08_调试与临时产物,,2.71 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_hp_gate2.py,文件,08_调试与临时产物,,2.67 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_hp_gate2_out.txt,文件,08_调试与临时产物,,506.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_hp_gate3.py,文件,08_调试与临时产物,,2.32 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_hp_gate3_out.txt,文件,08_调试与临时产物,,428.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_hp_gate_out.txt,文件,08_调试与临时产物,,825.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_phase_converge.py,文件,08_调试与临时产物,,2.10 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_phase_converge_out.txt,文件,08_调试与临时产物,,539.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_phase_v2.py,文件,08_调试与临时产物,,3.33 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_phase_v2_out.txt,文件,08_调试与临时产物,,5.62 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_real_phase.py,文件,08_调试与临时产物,,3.33 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_real_phase_out.txt,文件,08_调试与临时产物,,8.39 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_toy_cavity.py,文件,08_调试与临时产物,,2.46 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v15_toy_cavity_out.txt,文件,08_调试与临时产物,,1.51 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v16_audit.py,文件,08_调试与临时产物,,4.55 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v16_audit_out.txt,文件,08_调试与临时产物,,3.91 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v16_odd_potential_check.py,文件,08_调试与临时产物,,2.03 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v16_odd_potential_check_out.txt,文件,08_调试与临时产物,,1.30 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_json_fix.py,文件,08_调试与临时产物,,1.69 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_json_sync.py,文件,08_调试与临时产物,,3.43 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_odd_areal.py,文件,08_调试与临时产物,,9.07 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_odd_areal_out.txt,文件,08_调试与临时产物,,4.30 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_odd_areal_run.txt,文件,08_调试与临时产物,,4.36 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_odd_audit.py,文件,08_调试与临时产物,,7.88 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_odd_audit_out.txt,文件,08_调试与临时产物,,4.30 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_odd_audit_run.txt,文件,08_调试与临时产物,,3.88 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_odd_wkb.py,文件,08_调试与临时产物,,4.75 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_odd_wkb_out.txt,文件,08_调试与临时产物,,3.46 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_odd_wkb_run.txt,文件,08_调试与临时产物,,3.52 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_rerun_coalition.txt,文件,08_调试与临时产物,,10.64 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_strict_areal_indep.py,文件,08_调试与临时产物,,3.92 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_strict_areal_indep_out.txt,文件,08_调试与临时产物,,1.29 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v17_strict_areal_indep_rerun.txt,文件,08_调试与临时产物,,1.90 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v18_realfreq.py,文件,08_调试与临时产物,,4.70 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v18_realfreq_out.txt,文件,08_调试与临时产物,,2.15 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v18_realfreq_rerun.txt,文件,08_调试与临时产物,,2.16 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v18_run.txt,文件,08_调试与临时产物,,2.16 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v19_audit.py,文件,08_调试与临时产物,,4.41 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v19_audit_out.txt,文件,08_调试与临时产物,,2.61 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v19_book_update.py,文件,08_调试与临时产物,,5.11 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v19_html_statfix.py,文件,08_调试与临时产物,,2.10 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v19_html_update.py,文件,08_调试与临时产物,,6.66 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v19_json_note.py,文件,08_调试与临时产物,,1.76 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v19_json_update.py,文件,08_调试与临时产物,,4.98 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v19_pole_feedback.py,文件,08_调试与临时产物,,7.56 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v19_pole_feedback_out.txt,文件,08_调试与临时产物,,5.97 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v20_audit.py,文件,08_调试与临时产物,,6.13 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v20_audit_out.txt,文件,08_调试与临时产物,,3.93 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v20_normalize.py,文件,08_调试与临时产物,,19.46 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v20_renumber.py,文件,08_调试与临时产物,,1011.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v21_cz.py,文件,08_调试与临时产物,1,3.67 KB,已迁入,待归属（中间产物，非结论载体）
_ma_v21_cz_out.txt,文件,08_调试与临时产物,1,823.00 B,已迁入,待归属（中间产物，非结论载体）
_ma_v21_diag.py,文件,08_调试与临时产物,,1.77 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v21_diag2.py,文件,08_调试与临时产物,,1.89 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v21_diag2_out.txt,文件,08_调试与临时产物,,1.51 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v21_diag3.py,文件,08_调试与临时产物,,1.54 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v21_diag3_out.txt,文件,08_调试与临时产物,,129.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v21_normalize_v25.py,文件,08_调试与临时产物,1,19.34 KB,已迁入,待归属（中间产物，非结论载体）
_ma_v21_pole.py,文件,08_调试与临时产物,,7.86 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v21_pole_out.txt,文件,08_调试与临时产物,,1022.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_probe_v13.py,文件,08_调试与临时产物,,1.82 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_probe_v14.py,文件,08_调试与临时产物,,3.26 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_probe_v14b.py,文件,08_调试与临时产物,,2.95 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_probe_v14c.py,文件,08_调试与临时产物,,2.05 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_probe_v14d.py,文件,08_调试与临时产物,,2.53 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_probe_v14e.py,文件,08_调试与临时产物,,2.55 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_probe_v14f.py,文件,08_调试与临时产物,,3.01 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_probe_v14g.py,文件,08_调试与临时产物,,2.87 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_probe_v14h.py,文件,08_调试与临时产物,,2.17 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_probe_v14i.py,文件,08_调试与临时产物,,1.92 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_probe_v15_gr.log,文件,08_调试与临时产物,,55.00 B,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_probe_v15_gr.py,文件,08_调试与临时产物,,2.16 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_scan.py,文件,08_调试与临时产物,,1.76 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_shoot2.py,文件,08_调试与临时产物,,1.92 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
bloch_sphere_3d.png,文件,08_调试与临时产物,,690.76 KB,已迁入,待归属（线索：单篇产出）
debug_S_consistency.py,文件,08_调试与临时产物,,1.84 KB,已迁入,待归属（线索：单篇验证产出）
force_normalization_results.txt,文件,08_调试与临时产物,,3.30 KB,已迁入,待归属（线索：单篇验证产出）
hopf_control.py,文件,08_调试与临时产物,,2.99 KB,已迁入,待归属（线索：单篇产出）
hopf_verify.py,文件,08_调试与临时产物,,4.37 KB,已迁入,待归属（线索：单篇产出）
thomas_attractor.png,文件,08_调试与临时产物,,623.28 KB,已迁入,待归属（线索：单篇产出）
thomas_attractor_3d.png,文件,08_调试与临时产物,,400.29 KB,已迁入,待归属（线索：单篇产出）
universal_math_verification.png,文件,08_调试与临时产物,,132.25 KB,已迁入,待归属（线索：单篇产出）
verify_numeric_out.txt,文件,08_调试与临时产物,,3.99 KB,已迁入,待归属（线索：单篇验证产出）
verify_unified_theory.py,文件,08_调试与临时产物,,7.13 KB,已迁入,待归属（线索：单篇验证产出）
aikjxcz,目录,(仅登记),,,未迁入（留在原处）,站点/静态资源（338 MB）
article,目录,(仅登记),,,未迁入（留在原处）,"文章库（3,178 文件 / 2.1 GB，中英双语）"
code,目录,(仅登记),,,未迁入（留在原处）,"开发工作区（397,783 文件 / 45.2 GB）"
cypress,目录,(仅登记),,,未迁入（留在原处）,E2E 测试
data,目录,(仅登记),,,未迁入（留在原处）,数据集
directory-analysis,目录,(仅登记),,,未迁入（留在原处）,目录分析
dist,目录,(仅登记),,,未迁入（留在原处）,前端构建产物
docs,目录,(仅登记),,,未迁入（留在原处）,项目文档
draft_506fa474_folder,目录,(仅登记),,,未迁入（留在原处）,草稿
enterprise,目录,(仅登记),,,未迁入（留在原处）,企业相关
examples,目录,(仅登记),,,未迁入（留在原处）,示例
exports,目录,(仅登记),,,未迁入（留在原处）,导出产物
git,目录,(仅登记),,,未迁入（留在原处）,版本库副本
goldbach_route,目录,(仅登记),,,未迁入（留在原处）,非本项目（数论路线）
images,目录,(仅登记),,,未迁入（留在原处）,图片库
img,目录,(仅登记),,,未迁入（留在原处）,图片库
math,目录,(仅登记),,,未迁入（留在原处）,"数学资料（1,446 文件 / 1.25 GB，含 SOM/黎曼/素数等）"
media,目录,(仅登记),,,未迁入（留在原处）,媒体库
misc,目录,(仅登记),,,未迁入（留在原处）,杂项
my,目录,(仅登记),,,未迁入（留在原处）,个人资料（180 MB）
novel-helper,目录,(仅登记),,,未迁入（留在原处）,非本项目
output,目录,(仅登记),,,未迁入（留在原处）,构建输出
outputs,目录,(仅登记),,,未迁入（留在原处）,构建输出
paper,目录,(仅登记),,,未迁入（留在原处）,空目录
reports,目录,(仅登记),,,未迁入（留在原处）,报告
research,目录,(仅登记),,,未迁入（留在原处）,研究数据（含 research/goldbach_pwcv）
scripts,目录,(仅登记),,,未迁入（留在原处）,杂项脚本
src,目录,(仅登记),,,未迁入（留在原处）,前端源码
temp,目录,(仅登记),,,未迁入（留在原处）,临时
test_logs,目录,(仅登记),,,未迁入（留在原处）,测试日志
tests,目录,(仅登记),,,未迁入（留在原处）,测试
utf,目录,(仅登记),,,未迁入（留在原处）,"外部理论库（12,102 文件 / 3.4 GB），含编号目录如「17-空间光速螺旋引力理论」"
verification_output,目录,(仅登记),,,未迁入（留在原处）,验证输出
ws_v2.10_backup_20260918,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.11_backup_20260918,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.12_backup_20260918,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.13_backup_20260918,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.14_backup_20260918,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.15_backup_20260918,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.16_backup_20260918,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.17_backup_20260918,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.18_backup_20260918,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.19_backup_20260918,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.20_backup_20260919,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.21_backup_20260919,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.5_backup_20260916,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.6_backup_20260917,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.7_backup_20260917,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.8_backup_20260917,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
ws_v2.9_backup_20260917,文件,(仅登记),,,未迁入（留在原处）,工作区快照（ws_v2.*），只登记
启动脚本,目录,(仅登记),,,未迁入（留在原处）,启动脚本
日志,目录,(仅登记),,,未迁入（留在原处）,运行日志
__pycache__,—,(未分类),,,未迁入（留在原处）,目录：未在分类表中，保持原位
analysis,—,(未分类),,,未迁入（留在原处）,目录：未在分类表中，保持原位
node_modules,—,(未分类),,,未迁入（留在原处）,目录：未在分类表中，保持原位
